x,y,class
1612,498,subject
2309,498,subject
2474,498,subject
1756,499,subject
2411,499,subject
12,500,subject
771,501,subject
937,501,subject
1597,502,subject
1676,502,subject
2284,502,subject
478,503,subject
2030,503,subject
1046,504,subject
1237,504,subject
640,505,subject
1088,505,subject
1727,505,subject
335,506,subject
674,506,subject
2017,506,subject
2259,506,subject
1427,507,subject
1939,507,subject
2181,507,subject
537,508,subject
1015,508,subject
1285,508,subject
1712,508,subject
1774,508,subject
491,509,subject
1370,509,subject
1150,510,subject
2088,511,subject
384,512,subject
557,512,subject
1183,512,subject
2384,512,subject
1796,513,subject
323,514,subject
1106,514,subject
1265,514,subject
1980,514,subject
2392,514,subject
577,515,subject
970,515,subject
990,515,subject
521,516,subject
609,516,subject
659,516,subject
2342,516,subject
2453,516,subject
125,517,subject
374,517,subject
1407,517,subject
766,518,subject
1130,518,subject
1245,519,subject
1579,519,subject
1360,520,subject
312,521,subject
1961,521,subject
2348,522,subject
733,523,subject
782,523,subject
2246,524,subject
630,526,subject
1164,526,subject
2223,526,subject
2315,526,subject
541,527,subject
187,529,subject
213,529,subject
1737,529,subject
1780,529,subject
911,530,subject
975,530,subject
1935,530,subject
2020,530,subject
937,531,subject
1596,531,subject
1989,531,subject
2108,531,subject
1185,532,subject
1347,532,subject
2267,532,subject
1379,533,subject
1709,533,subject
2477,533,subject
1066,534,subject
2192,534,subject
289,535,subject
1091,535,subject
2143,535,subject
575,536,subject
1282,536,subject
1415,536,subject
2169,536,subject
2213,536,subject
2298,536,subject
2370,536,subject
594,538,subject
674,538,subject
1656,538,subject
2047,538,subject
2073,538,subject
1023,539,subject
404,540,subject
1044,540,subject
1864,540,subject
354,541,subject
508,541,subject
554,541,subject
2069,541,subject
2328,541,subject
148,542,subject
388,542,subject
764,542,subject
1542,542,subject
320,543,subject
335,543,subject
2276,544,subject
841,545,subject
534,546,subject
741,546,subject
1580,546,subject
1698,546,subject
1459,547,subject
1831,547,subject
1922,547,subject
1134,548,subject
972,549,subject
1978,549,subject
234,550,subject
1108,550,subject
611,551,subject
870,551,subject
1503,551,subject
64,552,subject
1523,552,subject
1750,552,subject
2442,552,subject
856,553,subject
1201,553,subject
1396,553,subject
1727,553,subject
1951,554,subject
1223,555,subject
1296,555,subject
2053,556,subject
580,557,subject
700,557,subject
1055,557,subject
2031,557,subject
634,558,subject
1426,558,subject
2472,558,subject
525,559,subject
902,559,subject
1171,559,subject
1897,559,subject
237,560,subject
946,560,subject
1091,560,subject
1258,560,subject
2202,560,subject
1921,561,subject
343,562,subject
368,562,subject
1043,562,subject
1152,562,subject
1278,562,subject
1819,562,subject
1348,563,subject
2003,563,subject
2101,563,subject
2313,563,subject
340,564,subject
731,564,subject
2359,564,subject
1130,565,subject
1865,565,subject
58,566,subject
389,566,subject
412,566,subject
548,566,subject
1024,566,subject
2231,566,subject
1691,567,subject
1238,568,subject
22,570,subject
204,570,subject
707,571,subject
973,571,subject
1111,571,subject
1873,571,subject
2173,571,subject
2195,571,subject
9,572,subject
995,572,subject
1500,572,subject
1605,572,subject
1747,572,subject
1982,572,subject
2438,573,subject
893,574,subject
1854,574,subject
2475,574,subject
260,575,subject
284,575,subject
906,575,subject
978,575,subject
1277,575,subject
2118,575,subject
2287,575,subject
36,576,subject
1241,576,subject
1783,576,subject
923,577,subject
1063,577,subject
1165,577,subject
1014,578,subject
1618,578,subject
2024,578,subject
581,579,subject
1081,579,subject
1204,579,subject
1303,579,subject
1723,579,subject
805,580,subject
841,580,subject
1909,580,subject
950,581,subject
1127,581,subject
1679,581,subject
2212,581,subject
1569,582,subject
1930,582,subject
2103,582,subject
513,583,subject
547,583,subject
2352,583,subject
826,584,subject
2056,584,subject
2149,584,subject
2371,584,subject
1255,585,subject
2274,585,subject
2193,586,subject
1414,587,subject
1700,587,subject
2087,587,subject
205,588,subject
1829,588,subject
2010,588,subject
1637,589,subject
1880,589,subject
858,590,subject
1028,591,subject
1220,591,subject
1791,591,subject
2234,591,subject
774,592,subject
1192,592,subject
256,593,subject
2138,593,subject
2306,593,subject
534,594,subject
1361,594,subject
2422,594,subject
272,595,subject
811,595,subject
1663,595,subject
1802,595,subject
2248,595,subject
296,596,subject
965,597,subject
1058,597,subject
1864,597,subject
1974,597,subject
1093,598,subject
1722,598,subject
241,599,subject
1145,599,subject
1443,599,subject
1584,599,subject
1622,599,subject
2468,599,subject
643,600,subject
1850,600,subject
1266,601,subject
1692,601,subject
1950,601,subject
2116,601,subject
2355,601,subject
1180,603,subject
1934,603,subject
2025,603,subject
1834,604,subject
2223,604,subject
2434,604,subject
1080,605,subject
2060,605,subject
2287,605,subject
288,606,subject
1496,606,subject
981,607,subject
1880,607,subject
2013,608,subject
2155,608,subject
2184,608,subject
818,609,subject
1235,609,subject
1816,609,subject
2200,609,subject
1915,610,subject
1408,611,subject
2080,611,subject
2099,611,subject
80,612,subject
341,612,subject
2457,612,subject
537,613,subject
1666,613,subject
1602,614,subject
2001,614,subject
227,615,subject
255,615,subject
588,615,subject
846,615,subject
1102,615,subject
1794,615,subject
558,616,subject
877,616,subject
2367,616,subject
2480,616,subject
318,617,subject
2304,617,subject
269,618,subject
2327,618,subject
