,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,theta,weight,density,mean_distance,moran-I,p-value
9e8d3f560d4e03c89617564ac2e23aa1,NULL,955.5,845,955.5,845,17.821457173791725,0.35779187083244324,8,3.981818199157715,1.4246622323989868,0.7175413370132446,0.25196078431372554,0.09375,6.408259515657714,-0.06786511150437853,1
0f16f7390819c1e5b23746cce849433d,NULL,1274,848.5,1274,848.5,181.45444313924065,0.30962303280830383,85,13.658161163330078,4.228881359100342,0.4978828728199005,0.21647058823529378,0.03125,0,-1.0000000000000002,1
7d384ad8df9b7603e048d39f30448ddf,NULL,1366,849.5,1366,849.5,339.9249924372876,0.41882196068763733,157,16.073183059692383,6.731801986694336,0.09546253085136414,0.21498688647433462,0.03125,0,-1.0000000000000002,1
b0db99e1a63b722acd633a6b50235b2d,NULL,1673.5,845.5,1673.5,845.5,58.605241237533455,0.19471417367458344,30,9.788012504577637,1.9058647155761719,0.40400993824005127,0.2359477124183007,0.03125,0,-1.0000000000000002,1
0a807f35be2ed869c2e542cedc984397,NULL,1410.5,846,1410.5,846,24.67696864736733,0.8666585683822632,12,3.0105576515197754,2.6091256141662598,0.0837729424238205,0.23921568627450976,0.03125,0,-1.0000000000000002,1
ee1644055c4366e413d9a9282dc8a510,NULL,1423,848,1423,848,160.57243729612458,0.2401309460401535,63,14.58936882019043,3.503358840942383,0.2852090001106262,0.2328664799253032,0.03125,0,-1.0000000000000002,1
56c681d2541d720e67987ce5c40f82ff,NULL,1741.5,849.5,1741.5,849.5,305.08874470778596,0.20688116550445557,140,21.66594696044922,4.482276439666748,2.8930134773254395,0.2222969187675065,0.03125,0,-1.0000000000000002,1
6f1e7728679ee4cb0f72f0e587b23224,NULL,2377.5,850.5,2377.5,850.5,300.52043154332017,0.3642826974391937,126,16.20476722717285,5.903116226196289,2.7535555362701416,0.1989106753812632,0.03125,0,-1.0000000000000002,1
26bade3d72b8d266f11a3460f0772486,NULL,1669,853.5,1669,853.5,384.6148005161776,0.5733044743537903,139,14.613202095031738,8.377814292907715,0.2907198369503021,0.22668923684581696,0.03125,0,-1.0000000000000002,1
f30ec14a3c86d523cab87fb50232df30,NULL,1902.5,848,1902.5,848,47.998242034738304,0.6047367453575134,27,5.026371002197266,3.0396313667297363,3.039112091064453,0.24168482207697897,0.03125,0,-1.0000000000000002,1
5913490c1734c32cc14c76a29e4010d4,NULL,960,847,960,847,7.02230687880213,0.3729751408100128,6,2.4480767250061035,0.9130717515945435,0.6146629452705383,0.2529411764705882,0.0625,2.462214450449026,-1,1
078b101797594593d7addb025c190601,NULL,1164.5,847.5,1164.5,847.5,5.663586648305577,0.5547001957893372,5,1.8027756214141846,1,2.158798933029175,0.2454901960784314,0.0625,4.962358310319802,-1,1
8ba84c23f128f2f9f6f566bcd44c404e,NULL,895,854.5,895,854.5,391.0009574970579,0.35730260610580444,125,18.663619995117188,6.668560028076172,2.6007649898529053,0.20972549019607808,0.03125,0,-1.0000000000000002,1
b2a9d949583dd3a97b7683f78c53ab2e,NULL,1852,852,1852,852,140.74974709279263,0.5831007361412048,50,8.765507698059082,5.1111741065979,2.720561981201172,0.24525490196078414,0.0625,5.220153254455275,-1,1
9ea0d3c73164ab4ceb4972a15a31c090,NULL,197,850.5,197,850.5,16.9912918375371,0.5135852098464966,11,3.245129346847534,1.666650414466858,0.9067501425743103,0.2377896613190731,0.09375,6.293139467713316,-0.3230552796807524,1
50205b23c2efd97fbd1c4a80edfb8449,NULL,412,855.5,412,855.5,355.4232322479956,0.5327998399734497,125,14.571891784667969,7.763901233673096,0.28108951449394226,0.21888627450980344,0.03125,0,-1.0000000000000002,1
3bd48b52f092148b5586386ae405fbed,NULL,688,855,688,855,420.6048804767345,0.4132169485092163,128,18.00002670288086,7.437916278839111,3.1398653984069824,0.2134191176470584,0.03125,0,-1.0000000000000002,1
1f794d2a1b822090ff16288c71ca5339,NULL,712.5,849.5,712.5,849.5,23.950616539639395,0.30463331937789917,15,5.002587795257568,1.5239548683166504,3.1094255447387695,0.23607843137254905,0.0625,2.5124689052802225,-1,1
225e3eaed5b73a5c25e9127483338cb4,NULL,1093,856,1093,856,229.0666698747323,0.7287523150444031,108,10.00267219543457,7.289470672607422,3.118478536605835,0.21401597676107434,0.03125,0,-1.0000000000000002,1
8a6f6128372e904601f4049c61bfe78e,NULL,203.5,850.5,203.5,850.5,1.5707963267948966,0.5,4,1,0.5,0,0.25,0.09375,5.239848152430962,-0.3230552796807524,1
0da98bcf534cc73f0c0467deeb2415ac,NULL,456,857.5,456,857.5,271.98302530559675,0.520404040813446,99,12.898097038269043,6.712221622467041,0.3753761053085327,0.22166765696177426,0.03125,0,-1.0000000000000002,1
b8002c3882b8f3c9da36a31c128d5514,NULL,2073.5,854.5,2073.5,854.5,171.82194540017446,0.45197388529777527,91,11.000380516052246,4.971884727478027,3.133272409439087,0.2133160956690365,0.03125,0,-1.0000000000000002,1
d539038b81a3d8333e47f7cc493f9b96,NULL,473,859,473,859,278.95107898373874,0.523237407207489,96,13.02685832977295,6.8161396980285645,0.6956382989883423,0.21172385620914994,0.03125,0,-1.0000000000000002,1
407891e3e06c582888cb25315ff0d67b,NULL,548,855.5,548,855.5,309.1922329519938,0.291755348443985,46,18.366649627685547,5.35856819152832,0.20014800131320953,0.24825234441602745,0.03125,0,-1.0000000000000002,1
0495d5c90c9fa0a3b945cde7cfa5a7d1,NULL,595.5,851.5,595.5,851.5,1.5707963267948966,0.5,4,1,0.5,0,0.24803921568627452,0.03125,0,-1.0000000000000002,1
7d7b59ca28844f52440b0a4c89cf792f,NULL,783,856.5,783,856.5,161.7511727473903,0.6963313221931458,48,8.598858833312988,5.987654685974121,0.37541377544403076,0.22957516339869274,0.03125,0,-1.0000000000000002,1
31f39e231e5e7a67585ff896794b5ef7,NULL,1059,857,1059,857,342.55725341562015,0.30994713306427,71,18.756328582763672,5.813470363616943,2.8566441535949707,0.23429991714995835,0.03125,0,-1.0000000000000002,1
7009a4c0774b5c68e3eec90c47ae92af,NULL,1148.5,854,1148.5,854,92.69252331423365,0.36409762501716614,38,9.001989364624023,3.2776029109954834,3.1205694675445557,0.21857585139318897,0.0625,4.16082924427331,-1.0000000000000002,1
af4c9ef8cde406d9d986d8c21e2fda4e,NULL,1516,851.5,1516,851.5,4.039181221710777,0.3073163628578186,5,2.045403003692627,0.6285858154296875,2.930499315261841,0.24784313725490198,0.0625,3.2015621187164243,-1.0000000000000002,1
239f061a439d648a4e5194fba8048a1d,NULL,1784,856,1784,856,202.2080698877721,0.4284123480319977,85,12.257257461547852,5.251160621643066,2.9363512992858887,0.19815455594002274,0.03125,0,-1.0000000000000002,1
338947f7dc1ba7a2ba5cf9509ca32415,NULL,2113.5,855,2113.5,855,170.3884683831814,0.3198089897632599,79,13.022664070129395,4.164764881134033,0.05900631472468376,0.22576321667907634,0.03125,0,-1.0000000000000002,1
6c24b337b10bda2a896144e862aa06b7,NULL,1444,857.5,1444,857.5,216.90525844881878,0.6904159784317017,58,10.000107765197754,6.904234409332275,3.1369435787200928,0.21183231913455014,0.03125,0,-1.0000000000000002,1
